[INFO ] [2022-12-12 18:08:35,435] Register - Step 01: Navigate to Register page
[INFO ] [2022-12-12 18:08:36,676] Register - Step 02: click to Radio button
[INFO ] [2022-12-12 18:08:36,884] Register - Step 03: Enter to Firstname textbox with value is Cuong Truong
[INFO ] [2022-12-12 18:08:37,223] Register - Step 04: Enter to Lastname textbox with value is Truong
[INFO ] [2022-12-12 18:08:37,518] Register - Step 05: Select DateOfBirthDay, DateOfBirthMonth, DateOfBirthYear
[INFO ] [2022-12-12 18:08:38,272] Register - Step 06: Enter to Email Adrress textbox with value is khanhcuong4847@gmail.com
[INFO ] [2022-12-12 18:08:38,646] Register - Step 07: Click to Checkbox Newsletter
[INFO ] [2022-12-12 18:08:38,759] Register - Step 08: Enter to Company textbox with value is LG Electronics
[INFO ] [2022-12-12 18:08:39,080] Register - Step 09: Enter to Password textbox with value is 123456
[INFO ] [2022-12-12 18:08:39,320] Register - Step 10: Enter to ConfirmPassword textbox with value is 123456
[INFO ] [2022-12-12 18:08:39,591] Register - Step 11: Click to Register button
[INFO ] [2022-12-12 18:08:40,621] Register - Step 12: Verify Register Success Message is displayed
[INFO ] [2022-12-12 18:08:40,728]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 18:08:40,783] Login - Step 01: Navigate to Login page
[INFO ] [2022-12-12 18:08:42,615] Login - Step 02: Enter to email textbox with value is khanhcuong4847@gmail.com
[INFO ] [2022-12-12 18:08:42,995] Login - Step 03: Enter to password textbox with value is 123456
[INFO ] [2022-12-12 18:08:43,200] Login - Step 04: Click to login button
[INFO ] [2022-12-12 18:08:44,090] Login - Step 05: Verify My Account Link is displayed
[INFO ] [2022-12-12 18:08:44,191]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 18:08:44,198] MyAccount - Step 01: Navigate to My Account Page
[INFO ] [2022-12-12 18:08:44,903] MyAccount - Step 02: Verify Customer Info page is displayed
[INFO ] [2022-12-12 18:08:45,002]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 18:08:45,002] MyAccount - Step 03: Verify First Name value is correct
[INFO ] [2022-12-12 18:08:45,062] MyAccount - Step 04: Verify Last Name value is correct
[INFO ] [2022-12-12 18:08:45,157] MyAccount - Step 05: Verify Email value is correct
[INFO ] [2022-12-12 18:08:45,238] OS name = windows 10
[INFO ] [2022-12-12 18:08:45,238] Driver instance name = chromedriver: chrome on windows (4f5d7823afc47bacdcd836e4b7dc647b)
[INFO ] [2022-12-14 15:48:40,607] Register - Step 01: Navigate to Register page
[INFO ] [2022-12-14 15:48:41,155] Register - Step 02: click to Radio button
[INFO ] [2022-12-14 15:48:41,237] Register - Step 03: Enter to Firstname textbox with value is Cuong Truong
